created_at,entry_id,co2_ppm,ch4_ppm
2025-08-19 00:51:02-05:00,325,6000.0,5994.60986
2025-08-19 00:51:26-05:00,326,6000.0,5994.60986
2025-08-19 00:51:50-05:00,327,6000.0,5994.60986
2025-08-19 00:52:15-05:00,328,6000.0,5994.60986
2025-08-19 00:52:39-05:00,329,6000.0,5995.3125
2025-08-19 00:53:02-05:00,330,6000.0,5993.90625
2025-08-19 00:53:27-05:00,331,6000.0,5995.3125
2025-08-19 00:53:50-05:00,332,6000.0,5995.3125
2025-08-19 00:54:15-05:00,333,6000.0,5994.60986
2025-08-19 00:54:39-05:00,334,6000.0,5996.01562
2025-08-19 00:55:03-05:00,335,6000.0,5996.01562
2025-08-19 00:55:27-05:00,336,6000.0,5993.90625
2025-08-19 00:55:51-05:00,337,6000.0,5995.3125
2025-08-19 00:56:15-05:00,338,6000.0,5994.60986
2025-08-19 00:56:39-05:00,339,6000.0,5994.60986
2025-08-19 00:57:03-05:00,340,6000.0,5995.3125
2025-08-19 00:57:28-05:00,341,6000.0,5994.60986
2025-08-19 00:57:51-05:00,342,6000.0,5995.3125
2025-08-19 00:58:39-05:00,343,6000.0,5994.60986
2025-08-19 00:59:03-05:00,344,6000.0,5995.3125
2025-08-19 00:59:27-05:00,345,6000.0,5994.60986
2025-08-19 00:59:53-05:00,346,6000.0,5995.3125
2025-08-19 01:00:15-05:00,347,6000.0,5995.3125
2025-08-19 01:00:39-05:00,348,6000.0,5993.90625
2025-08-19 01:01:03-05:00,349,6000.0,5995.3125
2025-08-19 01:01:27-05:00,350,6000.0,5994.60986
2025-08-19 01:01:52-05:00,351,6000.0,5994.60986
2025-08-19 01:02:16-05:00,352,6000.0,5995.3125
2025-08-19 01:02:40-05:00,353,6000.0,5994.60986
2025-08-19 01:03:28-05:00,354,6000.0,5995.3125
2025-08-19 01:03:52-05:00,355,6000.0,5993.90625
2025-08-19 01:04:16-05:00,356,6000.0,5996.01562
2025-08-19 01:04:40-05:00,357,6000.0,5995.3125
2025-08-19 01:05:04-05:00,358,6000.0,5994.60986
2025-08-19 01:05:28-05:00,359,6000.0,5995.3125
2025-08-19 01:05:52-05:00,360,6000.0,5993.90625
2025-08-19 01:06:16-05:00,361,6000.0,5994.60986
2025-08-19 01:06:40-05:00,362,6000.0,5995.3125
2025-08-19 01:07:08-05:00,363,6000.0,5994.60986
2025-08-19 01:07:29-05:00,364,6000.0,5995.3125
2025-08-19 01:07:52-05:00,365,6000.0,5993.90625
2025-08-19 01:08:16-05:00,366,6000.0,5993.90625
2025-08-19 01:08:40-05:00,367,6000.0,5995.3125
2025-08-19 01:09:05-05:00,368,6000.0,5995.3125
2025-08-19 01:09:29-05:00,369,6000.0,5993.90625
2025-08-19 01:09:53-05:00,370,6000.0,5995.3125
2025-08-19 01:10:19-05:00,371,6000.0,5994.60986
2025-08-19 01:10:41-05:00,372,6000.0,5994.60986
2025-08-19 01:11:05-05:00,373,6000.0,5995.3125
2025-08-19 01:11:32-05:00,374,6000.0,5994.60986
2025-08-19 01:12:17-05:00,375,6000.0,5995.3125
2025-08-19 01:12:41-05:00,376,6000.0,5994.60986
2025-08-19 01:13:05-05:00,377,6000.0,5995.3125
2025-08-19 01:13:29-05:00,378,6000.0,5994.60986
2025-08-19 01:13:53-05:00,379,6000.0,5993.90625
2025-08-19 01:14:17-05:00,380,6000.0,5995.3125
2025-08-19 01:14:41-05:00,381,6000.0,5993.90625
2025-08-19 01:15:05-05:00,382,6000.0,5996.01562
2025-08-19 01:15:29-05:00,383,6000.0,5995.3125
2025-08-19 01:15:54-05:00,384,6000.0,5994.60986
2025-08-19 01:16:18-05:00,385,6000.0,5995.3125
2025-08-19 01:16:42-05:00,386,6000.0,5995.3125
2025-08-19 01:17:08-05:00,387,6000.0,5994.60986
2025-08-19 01:17:30-05:00,388,6000.0,5995.3125
2025-08-19 01:17:55-05:00,389,6000.0,5994.60986
2025-08-19 01:18:18-05:00,390,6000.0,5994.60986
2025-08-19 01:18:45-05:00,391,6000.0,5995.3125
2025-08-19 01:19:06-05:00,392,6000.0,5994.60986
2025-08-19 01:19:30-05:00,393,6000.0,5995.3125
2025-08-19 01:19:57-05:00,394,6000.0,5995.3125
2025-08-19 01:20:19-05:00,395,6000.0,5994.60986
2025-08-19 01:20:42-05:00,396,6000.0,5995.3125
2025-08-19 01:21:09-05:00,397,6000.0,5995.3125
2025-08-19 01:21:30-05:00,398,6000.0,5994.60986
2025-08-19 01:21:55-05:00,399,6000.0,5995.3125
2025-08-19 01:22:18-05:00,400,6000.0,5995.3125
2025-08-19 01:22:42-05:00,401,6000.0,5994.60986
2025-08-19 01:23:06-05:00,402,6000.0,5995.3125
2025-08-19 01:23:31-05:00,403,6000.0,5994.60986
2025-08-19 01:23:55-05:00,404,6000.0,5994.60986
2025-08-19 01:24:19-05:00,405,6000.0,5995.3125
2025-08-19 01:24:44-05:00,406,6000.0,5994.60986
2025-08-19 01:25:07-05:00,407,6000.0,5995.3125
2025-08-19 01:25:31-05:00,408,6000.0,5995.3125
2025-08-19 01:25:55-05:00,409,6000.0,5994.60986
2025-08-19 01:26:19-05:00,410,6000.0,5995.3125
2025-08-19 01:26:44-05:00,411,6000.0,5994.60986
2025-08-19 01:27:32-05:00,412,6000.0,5995.3125
2025-08-19 01:27:55-05:00,413,6000.0,5994.60986
2025-08-19 01:28:19-05:00,414,6000.0,5994.60986
2025-08-19 01:28:43-05:00,415,6000.0,5995.3125
2025-08-19 01:29:09-05:00,416,6000.0,5993.90625
2025-08-19 01:29:32-05:00,417,6000.0,5995.3125
2025-08-19 01:29:55-05:00,418,6000.0,5995.3125
2025-08-19 01:30:19-05:00,419,6000.0,5993.90625
2025-08-19 01:30:44-05:00,420,6000.0,5995.3125
2025-08-19 01:31:07-05:00,421,6000.0,5994.60986
2025-08-19 01:31:32-05:00,422,6000.0,5994.60986
2025-08-19 01:31:56-05:00,423,6000.0,5995.3125
2025-08-19 01:32:20-05:00,424,6000.0,5994.60986
2025-08-19 01:32:44-05:00,425,6000.0,5993.90625
2025-08-19 01:33:10-05:00,426,6000.0,5995.3125
2025-08-19 01:33:32-05:00,427,6000.0,5994.60986
2025-08-19 01:33:56-05:00,428,6000.0,5995.3125
2025-08-19 01:34:21-05:00,429,6000.0,5995.3125
2025-08-19 01:34:44-05:00,430,6000.0,5994.60986
